roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,coffee_type,aroma,acidity,body,other_properties
quick_brown_fox,Ratnagiri Estate Lot RN34/4 [CM Yeast Naturals] [Filter Roast] [Microlot],https://qbfcoffee.com/collections/all-coffees/products/ratnagiri-estate-lot-rn34-4-cm-yeast-naturals-filter-roast-microlot,795,1350,"sln 9 , sln 9","cm yeast naturals , carbonic maceration",,MEDIUM_LIGHT,"peach , raspberry , red apple","tasting notes : peach , raspberry , red apple roast : filter farmer : ashok patre location - bababudan giri , kn elevation - 1250 - 1450m varietal - sln 9 process - cm yeast naturals fermentation - 76 hours carbonic maceration with yeast weight - 250gm / 1kg",india,2024-09-06 02:04:54.998827,2024-09-15 02:39:06.514308,"bababudan giri , kn",ashok patre,,,,,""
greysoul,Sachimore Anaerobic Fermentation (Med Profile),https://greysoul.coffee//products/sachimore-anaerobic-fermentation-light-med-profile,399,,sarchimore,"22+ brix cherries anaerobic fermented for 48 hours & dried under shade . , washed","melkodige estate , javali , mudigere , melkodige",MEDIUM,"ripe peaches , clementine oranges with sweet cola aftertaste","3 series - rare varietal lots | 3 . 7 - sarchimore anaerobic fermentation ripe peaches , clementine oranges with moderate acidity . suitable for all brew methods . ideal as pourover , french press , espresso & moka pot . origin melkodige estate , javali , mudigere process 22+ brix cherries anaerobic fermented for 48 hours & dried under shade . varietal & altitude sarchimore dry aroma strong florals & prune wet aroma orange , green grape & biscuit based on sensory evaluation ripe peaches , clementine oranges with sweet cola aftertaste . roast profile med roast fed at low temp , dropped at 208° with 13% dtr . characteristics sweet , juicy & tart acidity . minimum resting period filter 7 | espresso 12 days a song that pairs well suitable for all brew methods . roaster thoughts : a varietal that we only roasted once in the past during sampling of previous harvest year . as it is hybrid with one part costa rican it derives inherit qualities such as the final cup being clean with moderate acidity levels . taking that into consideration we have roasted this coffee to a medium roast to produce a much sweeter final cup . dropped at 208 degrees this is a ideal medium roast that is heavier on the body with balanced acidity . about the process : ripe purple cherries with a brix of 22 and above were selected , floats were removed and the washed cherries were inoculated in barrels the barrels were sealed airtight . the anaerobic fermentation was done in a cool shaded area for 48 hrs during which we constantly monitored the temperature as well as ph never allowing it to drop below 4 . after 72 hrs the cherries are removed and put on trays and kept under shade nets for drying . roast profile : roast machine : probat development time : 1m 30secs charge temperature : 170 ° celsius first crack temperature : 196 ° celsius end bean temperature : 208 ° celsius",india,2024-09-04 03:16:46.273012,2024-09-15 02:38:37.030713,"mudigere , javali",,,"strong florals & prune orange , green grape & biscuit","tart , moderate , balanced",,"sweet , juicy"
greysoul,Single Origin Yeast Fermented Espresso (Med-Dark Profile),https://greysoul.coffee//products/copy-of-120-hour-sun-dried-anaerobic-naturals-zoya-estate-med-profile,699,1304,"sln 9 , sln 9",yeast fermented anaerobic naturals,"br hills , chikmagalur , karnataka",MEDIUM_DARK,"red berries , sticky toffee","#2 series - roasters art | 2 . 2 single origin yeast fermented espresso juicy , round body with sweet berry finish . suitable for all brew methods . ideal as espresso & cortado . origin br hills , chikmagalur , karnataka process yeast fermented anaerobic naturals varietal sln 9 altitude 4280 feet dry aroma cinnamon , watermelon & kiwi wet aroma berry jam , caramel & milk chocolate sensory evaluation milk chocolate , sticky toffee , pineapples and hint of red berries . roast profile variable drum speed med - dark roast droped at 216° with 19% dtr & extended maillard phase . characteristics juicy , round body and sweet finish . minimum resting period filter 7 days | espresso 12 days a song that pairs well suitable for all brew methods . roaster thoughts : a single origin , single farm anaerobic yeast fermented coffee that was roasted just for espresso . a low temperature fed , longer maillard phase and higher dtr ensures this profile to be very sweet and creamy . a specific approach to roasting this lot and a whole new way of roasting was implemented to achieve the profile we wanted as roasters . the dry aroma of this lot is very rich , the espresso is creamy with sweet berries in every sip and once mixed with milk tastes exactly like a sweet and sour raspberry tart with soft acidity . roast profile : roast machine : probat development time : 2m 15secs end bean temperature : 216 ° celsius",india,2024-09-04 03:16:46.273012,2024-09-15 02:38:37.030713,"chikmagalur , karnataka",,,"cinnamon , watermelon & kiwi berry jam , caramel & milk chocolate",,"creamy , round body",creamy
greysoul,The Betel Leaf Coffee (72 Hour Fermented Naturals) (Light-Med Roast),https://greysoul.coffee//products/the-betel-leaf-coffee-72-hour-fermented-naturals-light-roast-copy,649,1310,betel,"72 - hour carbonic maceration culture process ( yeast & lactic acid bacteria ) naturals slow dried for 29 days . , carbonic maceration","ratnagiri estate , chikmagalur , karnataka , ratnagiri",MEDIUM_LIGHT,"prominent betel leaf , rose petals & orange zest","#3 series - rare varietal lots | 3 . 3 the betel leaf coffee betel leaf , rose petals & orange zest with perfumed aroma . suitable for all brew methods . ideal as pourover . origin ratnagiri estate , chikmagalur , karnataka process 72 - hour carbonic maceration culture process ( yeast & lactic acid bacteria ) naturals slow dried for 29 days . brix 23 . 2 varietal & altitude cavery varietal grown at 4300 feet dry aroma macerated rose petals & coconut wet aroma rose petals , cardamon & white sugar based on sensory evaluation prominent betel leaf , rose petals & orange zest characteristics bright perfumed aroma , juicy with med - heavy body roast profile light - med dropped at 205 - 6° with 19% dtr . minimum resting period filter 8 days | espresso 14 days a song that pairs well suitable for filter brewing methods . roaster thoughts : a special culture which is a mix of yeast and bacteria can result in scorching very easily . we had to roast this coffee at low temperature and feed at an ever lower temperature . but this could easily compromise the flavours in final cup . instead we took a different approach that resulted in the prominent notes overpowering the whole cupping room and the aroma was just intoxicating . this roast is one of our top 5 experimental profiles that has led to a very unique coffee . enjoy its aroma , unique never had before flavours and juicy mouthfeel all at once . the estate and efforts : we all are familiar with the producer mr . ashok patre and his family run estate ratnagiri estate . our founder visited the farm back in the month of march 2021 when coffee processing was at its peak . a day ' s visit to the estate to understand the farm , the processing techniques and the history behind the legacy was great . our meeting began with knowing each other and talking and about the passion that runs grey soul coffee as a brand . then it led to discussions about the specialty community and culture in our country right now . moving on , we spoke about cup score , q grading and how it varies from person to person and hence become highly subjective . then we spoke about international markets and a comparison between indian and south american coffee . then quickly moved on a long elaborate your of the farm where some coffee was milled and ready , some drying on raised beds , some drying out in the fields and hand garbling in works as final sorting was in process . in the end , specialty coffee can be simply defined as the coffee that is of the best quality without comprises . this is exactly what this estate stands for and believes in",india,2024-09-04 03:16:46.273012,2024-09-15 02:38:37.030713,"chikmagalur , karnataka",mr . ashok patre,,"macerated rose petals & coconut rose petals , cardamon & white sugar",,"heavy body , juicy mouthfeel",""
greysoul,The Rose Coffee (72 Hour Fermented Naturals) (Light Roast),https://greysoul.coffee//products/the-rose-coffee-72-hour-fermented-naturals-light-roast,649,1310,catuai,"72 - hour carbonic maceration culture process ( yeast & lactic acid bacteria ) naturals slow dried for 29 days . , carbonic maceration culture","ratnagiri estate , chikmagalur , karnataka , ratnagiri",LIGHT,"prominent rose syrup , strawberry cream & saffron","#3 series - rare varietal lots | 3 . 2 the rose coffee prominent rose syrup , strawberry cream & saffron with creamy mouthfeel . suitable for all brew methods . ideal as pourover . origin ratnagiri estate , chikmagalur , karnataka process 72 - hour carbonic maceration culture process ( yeast & lactic acid bacteria ) naturals slow dried for 29 days . brix 25 . 2 varietal & altitude catuai grown at 4300 feet dry aroma saffron & rose syrup . wet aroma rose petal fudge & white chocolate based on sensory evaluation prominent rose syrup , strawberry cream & saffron . characteristics creamy mouthfeel , clean cup & soft sweet acidity . roast profile light roast dropped at 201 - 2° with 10% dtr & 8 . 30 mins roast time . minimum resting period filter 7 days | espresso 14 days a song that pairs well suitable for filter brewing methods . roaster thoughts : for these 2 new lots , we chose a straight forward name approach to showcase the prominence of single flavour that shines through the cup till the last sip . the sweetness in the cup was noticed immediately in the few initial sample roasts itself . a light roast profile was chosen to accentuate the single flavour and also highlight the natural sweetness the lot had to offer . the estate and efforts : we all are familiar with the producer mr . ashok patre and his family run estate ratnagiri estate . our founder visited the farm back in the month of march 2021 when coffee processing was at its peak . a day ' s visit to the estate to understand the farm , the processing techniques and the history behind the legacy was great . our meeting began with knowing each other and talking and about the passion that runs grey soul coffee as a brand . then it led to discussions about the specialty community and culture in our country right now . moving on , we spoke about cup score , q grading and how it varies from person to person and hence become highly subjective . then we spoke about international markets and a comparison between indian and south american coffee . then quickly moved on a long elaborate your of the farm where some coffee was milled and ready , some drying on raised beds , some drying out in the fields and hand garbling in works as final sorting was in process . in the end , specialty coffee can be simply defined as the coffee that is of the best quality without comprises . this is exactly what this estate stands for and believes in",india,2024-09-04 03:16:46.273012,2024-09-15 02:38:37.030713,"chikmagalur , karnataka",mr . ashok patre,,saffron & rose syrup . rose petal fudge & white chocolate,"sweet , soft",creamy mouthfeel,""
greysoul,Yeast Nitrogen Naturals (Light-Med Roast),https://greysoul.coffee//products/copy-of-lactic-fermentation-naturals-light-roast,649,,catuai,"yeast nitrogen naturals , yeast nitrogen naturals","ratnagiri estate , br hills , chikmagalur , ratnagiri",MEDIUM_LIGHT,"heavy bodied with notes of macerated juicy strawberries , red hard candy followed by bright peaches & red apples","#1 series - fruit forward lots | 1 . 3 yeast nitrogen naturals heavy bodied . macerated juicy strawberries , red hard candy & red apples . origin ratnagiri estate , br hills , chikmagalur process yeast nitrogen naturals varietal & brix catuai | 24 . 1 dry aroma berry jam & sugarcane sweetness . wet aroma raspberry & peaches . based on sensory evaluation heavy bodied with notes of macerated juicy strawberries , red hard candy followed by bright peaches & red apples . roast profile a light - med roast with overall roast time of 8 . 45 mins with low drum speed & final drop temperature of 205 degrees . minimum resting period filter 4 days | espresso 14 days a song that pairs well suitable for all brewing methods . roaster thoughts : a rare varietal and a unique coffee process is what we roasters at grey soul coffee roasters look forward to . it was not easy and never will be to roast such meticulously roasted coffees , but the outcome is certainly something to look forward to . well to be honest we sample roasted the coffees the results were outstanding while roasting and cupping . when we moved on to the production lpg roaster it did go haywire for our very first batch where the coffee was baked but not technically charred as we lost control post caramelization stage . as we got a better grip and post make adjustments to the roast profile we got we needed to achieve and that a very well balanced light - medium roast dropped at 205 . the estate and efforts : we all are familiar with the producer mr . ashok patre and his family run estate ratnagiri estate . our founder visited the farm back in the month of march 2021 when coffee processing was at its peak . a day ' s visit to the estate to understand the farm , the processing techniques and the history behind the legacy was great . our meeting began with knowing each other and talking and about the passion that runs grey soul coffee as a brand . then it led to discussions about the specialty community and culture in our country right now . moving on , we spoke about cup score , q grading and how it varies from person to person and hence become highly subjective . then we spoke about international markets and a comparison between indian and south american coffee . then quickly moved on a long elaborate your of the farm where some coffee was milled and ready , some drying on raised beds , some drying out in the fields and hand garbling in works as final sorting was in process . in the end , specialty coffee can be simply defined as the coffee that is of the best quality without comprises . this is exactly what this estate stands for and believes in",india,2024-09-04 03:16:46.273012,2024-09-15 02:38:37.030713,"br hills , chikmagalur",mr . ashok patre,,berry jam & sugarcane sweetness . raspberry & peaches,,"heavy bodied , heavy",""
kapi_kottai,Abhyāsa,https://kapikottai.coffee/products/abhyasa,420,,,various,various,MEDIUM_LIGHT,,"we do anywhere between 2 to 5 roasts to properly profile a coffee before offering it on our website . we were earlier consuming it ourselves but we thought this will be a good way to let you guys take a peek into future offerings or snap up coffees at a more accessible price . since this is essentially practice , the word abhyāsa seems a good fit for this series . coffees under abhyāsa are subject to availability and only as whole beans",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kapi_kottai,Ārabhi,https://kapikottai.coffee/products/arabhi,580,1100,,"washed organic arabica ( 24 hr dry ferment ) , washed","narmada estate , chikmagalur , narmada",MEDIUM_LIGHT,jaggery | jasmine | lemon candy,"our newest washed coffee is also our favourite this year ! grown and processed at narmada estate , chikmagalur ; this certified organic arabica has gone through a monitored dry ferment for 24 hours post pulping . after which the coffee has been washed thoroughly to remove the left over mucilage and dried slowly . the resulting cup is downright festive in its complexity brimming with a jaggery like sweetness and a pleasant lemony acidity that we can best describe as candy like . florals take over as the cup cools and we mainly taste jasmine . all in all , this stood up to even really good naturals when cupped side by side while still being in the ambit of ' clean ' washed coffee flavours . this is our first year sourcing from narmada estate and we hope to continue this association in the coming years . we ' d like to thank south india coffee company for introducing us to this hidden gem ! the coffee is a manual brew only special and reminded our roaster of the very consonantal ārabhi rāga . ārabhi the coffee is also a delight as an iced brew too",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,chikmagalur,,arabica,,lemony,,""
kapi_kottai,Anuswaram #2,https://kapikottai.coffee/products/anuswaram-2,600,1000,,fruit - culture naturals,"mooleh manay estate , coorg , mooleh manay",MEDIUM_LIGHT,blueberry | cocoa liquor | rose,"anuswaram in carnatic parlance means a note between notes and denotes complex melodic movements that rāga - s tend to employ . we sometimes receive small lots of coffee that really captivate us with their complexity or innovative processing . we feel that anuswaram is a fitting name for featuring these intriguing lots . the second in this series is a very special natural from our og farm partner , mooleh manay . the estate has been experimenting with growing cultures to be used in fermentation for a couple of years and this particular lot was lot was fermented with a starter culture grown from grapes . climate change is an unfortunate reality in today ' s world and this lot uses only cherries which have split or haven ' t ripened fully because of unseasonal rainfall . the splits and semi ripes have been dried for a day , fermented in sealed bags using this culture and then slow dried on raised beds . the drying has been done over a fortnight inside poly tunnels the resulting cup is a riot of fruity flavours , chocolatey sweetness and a rose like florality . what amazed us the most about this coffee is its sweetness and drinkability . the complexity is never overbearing and the cup is ' clean ' despite all the fruity flavours . anuswaram #2 is a delight across all manual brews , especially shining as a pourover with a v60 . what is truly staggering about this lot of coffee is that the estate has found a way to use produce which is normally deemed defective and elevate it to speciality status . kudos to the good folks at mooleh manay for pushing the boundaries when it comes to ingenuity and refinement of a process",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kapi_kottai,Anuswaram #3,https://kapikottai.coffee/products/anuswaram-3,650,1300,,"anoxic naturals , washed","sirangalli village , coorg , mooleh manay , mooleh",MEDIUM_LIGHT,plum | raisins | milk chocolate,"anuswaram in carnatic parlance means a note between notes and denotes complex melodic movements that rāga - s tend to employ . we sometimes receive small lots of coffee that really captivate us with their complexity or innovative processing . we feel that anuswaram is a fitting name for featuring these intriguing lots . for the third of this series , we have three very special arabica lots which come from small growers in sirangalli village , high up in the pushpagiris ( coorg ) . a washed , a honey and a natural . all three lots have been carefully processed in collaboration with the good folks of south india coffee company . two of them being processed at mooleh manay estate . for the washed lot , ripe cherries were harvested and sent to the community washing center . floats were removed after which the coffee was pulped and then washed . the resulting cup is very sweet , very balanced and sparkles with a lemon - candy like acidity . for the honey , ripe cherries were harvested and brought back to mooleh manay’s processing unit , then floated and fermented in cherry form . the coffee cherries are then pulped using an waterless eco pulper , keeping most of the mucilage intact . the coffee is then sent to the patios to dry , raking at regular intervals . all this care results in a cup bright cup that brims with oodles of fruitiness ; reminding us of peaches and green apples . for the natural , ripe cherries were harvested and brought back to mooleh manay’s processing unit , then floated and fermented in bags to keep the environment anoxic . the cherries are then dried on raised beds inside a poly tunnel for a fortnight and were raked regularly . the resulting cup has tons of texture and an acidity that reminds us of plums . we wanted you guys to experience all of the haul from sirangalli village and the best way to do this is a sampler set of 3× 100g . anuswaram # 3 is a delight across all manual brews and covers a wide gamut of flavour experiences , from clean and crisp to fruity and punchy . kudos to south india coffee company for having initiated this project and giving smallholder farms , a much needed entry into the speciality coffee scene",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,"coorg , sirangalli",,,lemon,,,""
kapi_kottai,Anuswaram #4,https://kapikottai.coffee/products/bihag-copy,600,1500,sln 09,"washed arabica ( 18 hr dry - ferment ) , washed","greenland estate , valparai , greenland",MEDIUM_LIGHT,jaggery | peach | floral,"anuswaram in carnatic parlance means a note between notes and denotes complex melodic movements that rāga - s tend to employ . we sometimes receive small lots of coffee that really captivate us with their complexity or innovative processing . we feel that anuswaram is a fitting name for featuring these intriguing offerings . the 4th in this series is a very special washed coffee from the lofty hills of valparai . located in the thalanar region of the valparai plateau , greenland estate is spread over 200 acres and at an altitude of 1500 - 1737m asl , is one of the highest farms that we have sourced from . the owner mr . govind , is very eager to make inroads into the speciality coffee segment and nothing showcases what the farm has to offer like this washed lot . to prepare this , cherries of the sln 09 varietal were picked picked ripe , pulped ( i . e . skin was removed ) and fermented for 18 hours . the coffee beans were then washed and slow dried for a fortnight on raised beds . the low temperatures ( because of the high altitude ) and the care taken during processing have made this coffee an absolute delight in the cup ! there ' s a very prominent jaggery like sweetness , a partly peachy , partly orange - like acidity and a whole bunch of florals , some of . which we could triangulate and some which we couldn ' t . all this complexity is very reminiscent of african coffees and quite uncommon in indian offerings . we thank mr . viggnesh for having helped source this beautiful coffee for us and hope to work with greenland estate more closely in future ! anuswaram #4 is a delight across all manual brews but shines best in a v60",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,valparai,"mr . govind , mr . viggnesh",,,orange,,""
kapi_kottai,Bahār,https://kapikottai.coffee/products/bahar,520,1295,,"washed arabica ( 18 hr dry ferment ) , washed","unakki estate , chikmagalur , unakki",MEDIUM_LIGHT,sugarcane | sweetlime | dried - apricot,"our favourite coffee from joldal palya is back for a third year ! the good folks at unakki estate have upped their processing game this year and it really shows in the cup with this washed arabica . for this lot , ripe cherries have been pulped and then rested in the fermentation tank ( without water ) for 18 hours . the coffee has then been washed and slow dried on raised beds . the result of the careful fermentation has resulted in a very complex and very bright cup that pings with the acidity of sweet - limes and has the sweetness of sugarcane juice . this coffee is an upgrade from last year ' s iteration in all departments ! bahār the coffee is best enjoyed as a manual brew , preferably on a v60 . it can lend itself to espresso after 2 weeks of degassing",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,joldal palya,,arabica,,,,""
kapi_kottai,Curveball,https://kapikottai.coffee/products/curveball,610,1000,,"inoculated naturals , excelsa , naturals","mooleh manay estate , coorg , mooleh manay",MEDIUM_LIGHT,apple | marigold | raw honey,"india ' s first speciality excelsa is back and this 5th iteration is the most posh ! the folks at mooleh manay wanted to process all the excelsa as naturals and we are glad they did so ! for this year ' s lot ripe cherries were picked , floated and then dried on raised beds for 72 hrs . they were then put in barrels and a custom yeast culture was then added . fermentation was carefully monitored and after 84 hours the coffee was put out to dry slowly in the polyhouse . from the minute we got the green sample , we know that the excelsa was going to be bonkers this year and it didn ' t disappoint ! the acidity is very apple like and the sweetness is that of honey . the usual nuttiness is very much present but we cannot get over the marigold like florals that abound in this year ' s lot . curveball is a veritable delight across all manual brews and makes for a heady shot ( or 4 ) of espresso after 12 days of degassing",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,apple like and,,""
kapi_kottai,Kāmbhōji,https://kapikottai.coffee/products/kambhoji,580,1200,"sln 795 , mangoey , sln 09","arabica naturals , anoxic","ram estate , kodaikanal , binny , ram",MEDIUM_LIGHT,musk melon | mulberry | mango,"our latest offering from the kodaikanal region is probably our most balanced natural to date . located in the village of kamanur near thandigudi , ram estate is a relatively new entrant to speciality coffee ( this is the second year of their foray ) and have been processing top notch coffees from year one , in collaboration with binny varghese a . k . a barista on bike . this particular lot consists mainly of selectively picked sln 09 and sln 795 . the cherries were fermented in a sealed barrel for 48 hrs , before being slow dried on raised beds . the resulting cup has always pleasantly surprised us , right from the first test roast . there is a lot of complexity and fruitiness without it being overbearing . we initially taste a muskmelon like softness and mulberry like acidity but the coffee really comes into its own 10 days post roast when a mangoey aroma takes centre stage ( we ourselves were shocked when this first happened but we don ' t begrudge pleasant surprises ) . all this fruitiness is never overpowering though , the coffee always has a soft finish and is very drinkable . the mango aromas reminds us of the rāga kāmbhōji and this coffee is what we love serving to visitors at kāpikottai hq ! kāmbhōji the coffee is a delight across all manual brews but we recommend the clever dripper or hario switch to extract the most of that mangoey goodness . we hope this collab between the folks at ram estate and binny varghese results in more amazing coffees in the coming season",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,"kodaikanal region , kamanur , thandigudi , kāpikottai hq",binny varghese,,,like,,""
kapi_kottai,Kāpikottai Samplers,https://kapikottai.coffee/products/kapikottai-samplers,520,,,,,,,try our customisable sampler set if you want to savour our coffees but aren ' t sure where to start . each set consists of 3 hundred gram packs and you can choose any coffee from our entire range,india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kapi_kottai,Kēdāram,https://kapikottai.coffee/products/kedaram,540,1000,,"pulp sun - dried arabica ( red honey ) , washed","venkids valley estate , coorg , venkids valley",MEDIUM_LIGHT,raspberry | plums | dried apricots,"this red honey arabica is fruity and bright and very sweet ! sourced from venkids valley estate in coorg , this lot of arabica has been processed as a red honey , i . e . the coffee has been pulped and slow dried along with the mucilage on raised beds . the resulting cup splits the difference between between crisp washed flavours and fruity naturals flavours rather artfully . what drew us to this coffee is the lingering sweetness that permeates the cup across all manual brewing methods . the same sweetness reminded our roaster of the rāga kēdāram . this coffee can also be tried as an espresso alveit with a finer than usual grind and a bigger ratio",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,coorg,,arabica,,,,""
kapi_kottai,Mind = Blown,https://kapikottai.coffee/products/mind-blown,610,1000,,"inoculated naturals ( 64 hrs ) , arabica","mooleh manay estate , coorg , mooleh manay",MEDIUM_LIGHT,raspberry | pomegranate | vanilla,"our og best seller is back and this time , with an update ! this year ' s iteration of mind=blown is a yeast inoculated natural . the folks at mooleh manay wanted consistency across the board with their naturals and honeys this year . using yeast , was the best way to ensure this . for this year ' s lot , ripe cherries were picked and put in a floatation tank as usual to remove immatures . the cherries that sank were then put in airtight food grade barrels and a yeast culture was added . fermentation was carefully monitored and after 64 hours the coffee was put out to dry slowly on raised beds in a polyhouse ( the new normal thanks to unseasonal harvest rains ) . all this care has resulted in a coffee that is fruity but also clean and insanely sweet . we find the acidity very raspberry like and the sweetness reminds us of vanilla . we cannot state enough about how sweet and drinkable this year ' s iteration of mind=blown is . the coffee is very versatile and is a delight across all brews , manual ( degassing time 3 days ) and espresso ( degassing time 14 days )",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,clean,fruity
kapi_kottai,Mōhanakalyāni,https://kapikottai.coffee/products/mohanakalyani,490,1500,chandragiri,"washed , sequential ferment , washed","krishnagiri estate , chikmagalur , krishnagiri",MEDIUM_LIGHT,brown sugar | toasted nuts | cherry,"our latest washed coffee is also the sweetest ! sourced from krishnagiri estate , high up in the chandra drona hills ( a . k . a the giris ) of chikmagalur , this lot of washed arabica fascinated us with its bean density and versatility ( traits we have come to associate with the coffee from krishnagiri estate ) . ripe cherries of the chandragiri varietal were picked for this lot and rested before pulping . the cherries were rested some more post pulping and then washed and slow - dried . the resulting cup is very sweet and delightfully nutty with a mildly cherry like finish . this sugar like sweetness reminds us of the rāga mohanakalyāni and this coffee is the new daily driver at kāpikottai hq . mohanakalyāni the coffee , is a delight across all manual brews and also shines as a single origin espresso",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,"chandra drona hills , chikmagalur , kāpikottai hq",,arabica,,,,""
kapi_kottai,Sahānā,https://kapikottai.coffee/products/sahana,580,1295,,"arabica naturals , traditional , slow - dried , naturals , washed","unakki estate , chikmagalur , unakki",MEDIUM_LIGHT,candied sweet lime | plum | almond,"the good folks of unakki estate have dabbled with more processing methods this season and we found their naturals to be the most interesting of the bunch ! these are traditional naturals with no intended fermentation design . coffee cherries have been picked ripe and slow - dried on raised beds . the resulting coffee is a curious concoction in the cup , being brighter than other naturals that we have cupped . while the aroma is decidedly fruity , the taste is in the spectrum of unakki ' s washed coffee but with a higher intensity and a surprisingly delicate mouthfeel . we quite like these intriguing flavours and the coffee reminded our roaster of the rāga sahānā . sahānā the coffee is a delight across all manual brews and makes a very sweet shot of espresso after 14 days of degassing",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,delicate mouthfeel,fruity
kapi_kottai,Subscribe - 12 Coffees Delivery,https://kapikottai.coffee/products/subscribe-12-coffees-delivery,4435,,,,,,,schedule 12 coffee deliveries in one click and save up to 12% on your order,india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kapi_kottai,Subscribe - 24 Coffees Delivery,https://kapikottai.coffee/products/coffeesubscription24,8670,,,,,,,schedule 24 coffee deliveries in one click and save up to 14% on your order,india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kapi_kottai,Subscribe - 3 Coffees Delivery,https://kapikottai.coffee/products/subscribe-3-coffees-delivery,1160,,,,,,,schedule 3 coffee deliveries in one click and save up to 8% on your order,india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kapi_kottai,Subscribe - 6 Coffees Delivery,https://kapikottai.coffee/products/subscribe-6-coffees-delivery,2270,,,,,,,schedule 6 coffee deliveries in one click and save up to 10% on your order,india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,,,,,""
kc_roasters,Dark Roast &quot;NEW HARVEST&quot; Coffee Sampler Pack,https://kcroasters.com/products/dark-roast-coffee-sampler-pack-2,750,,,,santhagiri,DARK,"caramel , apple , almond rocher , cocoa , chocolate fudge , vanilla toffee , oak , dark chocolate fudge , almond oil","if you ' d like to taste different coffees before selecting one , give our sampler packs a try ! each pack contains 3 x 120 gm bags of the finest dark roast coffee . it ' s also the perfect gift for introducing speciality coffee to a friend or family member . our coffee beans are roasted fresh in mumbai , custom ground to suit your need and shipped in bio - degradable bags . this dark roast sampler pack contains shieldtail 10 - chocolate fudge , oak , almond rocher & apple santhagiri - vanilla toffee & dark chocolate fudge . winter espresso blend - almond oil , cocoa & caramel to customise , leave us a note at checkout mentioning your preferred coffees . please note : we can ' t add limited edition coffees to these packs . they are available at an additional cost",india,2024-09-10 19:03:24.078214,2024-09-15 02:38:44.276140,,,,,,,""
kc_roasters,Kelagur Natural | Medium Roast Coffee,https://kcroasters.com/products/kelagur-natural-medium-dark-roast-coffee,750,1066,,"natural sun - dried , natural sun - dried",kelagur,,"papaya , apple , guava ; red currant","a comforting , earthy coffee that helps us ease into the day smoothly . this natural sun - dried coffee comes from kelagur estates situated at 3500 feet . kelagur estate is a member of specialty coffee association of india ( scai ) and exports most of its coffee to australia , germany , sweden and switzerland . it also has its own pulping and curing facilities that ensure coffee is always processed at peak freshness for optimum flavour . region : chikmagalur , karnataka process : natural sun - dried altitude : 3500 feet best with : espresso , french press , south indian filter , moka pot , electric brewer , coldbrew cupper ' s notes : papaya , apple , guava & red currant note - our fresh coffee beans are roasted in mumbai , daily . - all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time",india,2024-09-10 19:03:24.078214,2024-09-15 02:38:44.276140,"chikmagalur , karnataka",,arabica,,,,""
kc_roasters,Kelagur Washed | Ultra Dark Roast Coffee | NEW HARVEST !,https://kcroasters.com/products/kelagur-ultra-dark-coffee,750,1066,,"washed parchment , washed parchment , washed",kelagur,DARK,"roasted chestnuts , almond ; cocoa","a n ultra dark , buttery coffee that helps us ease into the day smoothly . this washed coffee comes from kelagur estates situated at 3500 feet . kelagur estates is a member of specialty coffee association of india ( scai ) and exports most of its coffee to australia , germany , sweden and switzerland . it also has its own pulping and curing facilities that ensure coffee is always processed at peak freshness for optimum flavour . region : chikmagalur , karnataka process : washed parchment altitude : 3500 feet best with : espresso , french press , south indian filter , moka pot , electric brewer , cold brew cupper ' s notes : roasted chestnuts , almond & cocoa . note - our fresh coffee beans are roasted in mumbai , daily . - all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time",india,2024-09-10 19:03:24.078214,2024-09-15 02:38:44.276140,"chikmagalur , karnataka",,arabica,,,,""
